estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
Online,NA,CANAL AGRICOLA,ST-D,35.86,MAGNOJET,4,2022,Online
Online,NA,DRS PULVERIZADORES,ST-D,29.1,MAGNOJET,4,2022,Online
Online,NA,CANAL AGRICOLA,AD-IA,31.7,MAGNOJET,5,2021,Online
Online,NA,CANAL AGRICOLA,AD-IA,37.06,MAGNOJET,5,2022,Online
Online,NA,DRS PULVERIZADORES,AD-IA,32.2,MAGNOJET,5,2022,Online
Online,NA,CANAL AGRICOLA,MUG,78.06,MAGNOJET,6,2022,Online
Online,NA,DRS PULVERIZADORES,MUG,55.5,MAGNOJET,6,2022,Online
Online,NA,JACTO,AXI,29.11,JACTO,2,2022,Online
Online,NA,JACTO,JA,23.12,JACTO,1,2022,Online
Online,NA,JACTO,ATR,40.82,JACTO,1,2022,Online
Online,NA,JACTO,J3D,105.39,JACTO,3,2022,Online
Online,NA,JACTO,JTT,32.34,JACTO,3,2022,Online
Online,NA,JACTO,AVI,75.88,JACTO,5,2022,Online
Online,NA,JACTO,CVI,92.68,JACTO,5,2022,Online
Online,NA,JACTO,JMD,105.39,JACTO,6,2022,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TTI-cap,84.94000000000001,DEEJET,6,2021,Online
Online,TeeJet;,HERBICAT,TTI-cap,68.63,DEEJET,6,2021,Online
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,71.57000000000001,DEEJET,6,2021,Sul
PR,Jacto;TeeJet;,COOPERATIVA AGRARIA,TTI-cap,78.25,DEEJET,6,2021,Sul
PR,TeeJet;Magnojet;,MAQUISOLO,TTI-cap,83.4,DEEJET,6,2021,Sul
PR,Outras;,MAQUISOLO,TTI-cap,72.2,DEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,71.53,DEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,77.4,DEEJET,6,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,TTI-cap,78.56,DEEJET,6,2021,Sul
GO,TeeJet;,SPRAYER COM,TTI-cap,75.73,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,BIOTECH,TTI-cap,78.03,DEEJET,6,2021,Sudeste
MG,TeeJet;,JD MAQNELSON,TTI-cap,61.37,DEEJET,6,2021,Sudeste
PR,TeeJet;,VERDESUL,TTI-cap,165.9,DEEJET,6,2021,Sul
GO,TeeJet;,SPRAYERCOM,TTI-cap,75.73,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MAQNELSON,TTI-cap,56.55,DEEJET,6,2021,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,56.55,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MINAS VERDE,TTI-cap,56.55,DEEJET,6,2021,Sudeste
MG,TeeJet;,TREVISO,TTI-cap,56.6,DEEJET,6,2021,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,56.6,DEEJET,6,2021,Centro-Oeste
PR,TeeJet;,TESTE,TTI-cap,57.9,DEEJET,6,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TTI-cap,57.9,DEEJET,6,2022,Sul
MG,TeeJet;,DUSIQUEIRA,TTI-cap,54.9,DEEJET,6,2022,Sudeste
GO,TeeJet;,CASA DO PICA PAU,TTI-cap,68.4,DEEJET,6,2022,Centro-Oeste
PR,TeeJet;,MA MÁQUINAS,TTI-cap,57.9,DEEJET,6,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TTI-cap,54.9,DEEJET,6,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,TTI-cap,53.4,DEEJET,6,2022,Sul
SC,TeeJet;,JB,TTI-cap,57.9,DEEJET,6,2022,Sul
MG,TeeJet;,SPRAYERCOM,TTI-cap,68.4,DEEJET,6,2022,Sudeste
MG,TeeJet;,MAQNELSON,TTI-cap,57.9,DEEJET,6,2022,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,57.9,DEEJET,6,2022,Centro-Oeste
MS,TeeJet;,COMO,TTI-cap,68.4,DEEJET,6,2022,Centro-Oeste
Online,NA,CANAL AGRICOLA,TTI-cap,84.94000000000001,DEEJET,6,2021,Online
Online,NA,CANAL AGRICOLA,TTI-cap,68.18,DEEJET,6,2022,Online
Online,NA,HERBICAT,TTI-cap,53.08,DEEJET,6,2022,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TTI-cap,84.94000000000001,DEEJET,6,2021,Online
Online,TeeJet;,HERBICAT,TTI-cap,68.63,DEEJET,6,2021,Online
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,71.57000000000001,DEEJET,6,2021,Sul
PR,Jacto;TeeJet;,COOPERATIVA AGRARIA,TTI-cap,78.25,DEEJET,6,2021,Sul
PR,TeeJet;Magnojet;,MAQUISOLO,TTI-cap,83.4,DEEJET,6,2021,Sul
PR,Outras;,MAQUISOLO,TTI-cap,72.2,DEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,71.53,DEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,77.4,DEEJET,6,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,TTI-cap,78.56,DEEJET,6,2021,Sul
GO,TeeJet;,SPRAYER COM,TTI-cap,75.73,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,BIOTECH,TTI-cap,78.03,DEEJET,6,2021,Sudeste
MG,TeeJet;,JD MAQNELSON,TTI-cap,61.37,DEEJET,6,2021,Sudeste
PR,TeeJet;,VERDESUL,TTI-cap,165.9,DEEJET,6,2021,Sul
GO,TeeJet;,SPRAYERCOM,TTI-cap,75.73,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MAQNELSON,TTI-cap,56.55,DEEJET,6,2021,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,56.55,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MINAS VERDE,TTI-cap,56.55,DEEJET,6,2021,Sudeste
MG,TeeJet;,TREVISO,TTI-cap,56.6,DEEJET,6,2021,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,56.6,DEEJET,6,2021,Centro-Oeste
PR,TeeJet;,TESTE,TTI-cap,57.9,DEEJET,6,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TTI-cap,57.9,DEEJET,6,2022,Sul
MG,TeeJet;,DUSIQUEIRA,TTI-cap,54.9,DEEJET,6,2022,Sudeste
GO,TeeJet;,CASA DO PICA PAU,TTI-cap,68.4,DEEJET,6,2022,Centro-Oeste
PR,TeeJet;,MA MÁQUINAS,TTI-cap,57.9,DEEJET,6,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TTI-cap,54.9,DEEJET,6,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,TTI-cap,53.4,DEEJET,6,2022,Sul
SC,TeeJet;,JB,TTI-cap,57.9,DEEJET,6,2022,Sul
MG,TeeJet;,SPRAYERCOM,TTI-cap,68.4,DEEJET,6,2022,Sudeste
MG,TeeJet;,MAQNELSON,TTI-cap,57.9,DEEJET,6,2022,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,57.9,DEEJET,6,2022,Centro-Oeste
MS,TeeJet;,COMO,TTI-cap,68.4,DEEJET,6,2022,Centro-Oeste
Online,NA,CANAL AGRICOLA,TTI-cap,84.94000000000001,DEEJET,6,2021,Online
Online,NA,CANAL AGRICOLA,TTI-cap,68.18,DEEJET,6,2022,Online
Online,NA,HERBICAT,TTI-cap,53.08,DEEJET,6,2022,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TTI-cap,84.94000000000001,DEEJET,6,2021,Online
Online,TeeJet;,HERBICAT,TTI-cap,68.63,DEEJET,6,2021,Online
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,71.57000000000001,DEEJET,6,2021,Sul
PR,Jacto;TeeJet;,COOPERATIVA AGRARIA,TTI-cap,78.25,DEEJET,6,2021,Sul
PR,TeeJet;Magnojet;,MAQUISOLO,TTI-cap,83.4,DEEJET,6,2021,Sul
PR,Outras;,MAQUISOLO,TTI-cap,72.2,DEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,71.53,DEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI-cap,77.4,DEEJET,6,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,TTI-cap,78.56,DEEJET,6,2021,Sul
GO,TeeJet;,SPRAYER COM,TTI-cap,75.73,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,BIOTECH,TTI-cap,78.03,DEEJET,6,2021,Sudeste
MG,TeeJet;,JD MAQNELSON,TTI-cap,61.37,DEEJET,6,2021,Sudeste
PR,TeeJet;,VERDESUL,TTI-cap,165.9,DEEJET,6,2021,Sul
GO,TeeJet;,SPRAYERCOM,TTI-cap,75.73,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MAQNELSON,TTI-cap,56.55,DEEJET,6,2021,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,56.55,DEEJET,6,2021,Centro-Oeste
MG,TeeJet;,MINAS VERDE,TTI-cap,56.55,DEEJET,6,2021,Sudeste
MG,TeeJet;,TREVISO,TTI-cap,56.6,DEEJET,6,2021,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,56.6,DEEJET,6,2021,Centro-Oeste
PR,TeeJet;,TESTE,TTI-cap,57.9,DEEJET,6,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TTI-cap,57.9,DEEJET,6,2022,Sul
MG,TeeJet;,DUSIQUEIRA,TTI-cap,54.9,DEEJET,6,2022,Sudeste
GO,TeeJet;,CASA DO PICA PAU,TTI-cap,68.4,DEEJET,6,2022,Centro-Oeste
PR,TeeJet;,MA MÁQUINAS,TTI-cap,57.9,DEEJET,6,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TTI-cap,54.9,DEEJET,6,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,TTI-cap,53.4,DEEJET,6,2022,Sul
SC,TeeJet;,JB,TTI-cap,57.9,DEEJET,6,2022,Sul
MG,TeeJet;,SPRAYERCOM,TTI-cap,68.4,DEEJET,6,2022,Sudeste
MG,TeeJet;,MAQNELSON,TTI-cap,57.9,DEEJET,6,2022,Sudeste
GO,TeeJet;,MAQNELSON,TTI-cap,57.9,DEEJET,6,2022,Centro-Oeste
MS,TeeJet;,COMO,TTI-cap,68.4,DEEJET,6,2022,Centro-Oeste
Online,NA,CANAL AGRICOLA,TTI-cap,84.94000000000001,DEEJET,6,2021,Online
Online,NA,CANAL AGRICOLA,TTI-cap,68.18,DEEJET,6,2022,Online
Online,NA,HERBICAT,TTI-cap,53.08,DEEJET,6,2022,Online
