estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
SP,Magnojet;,AGRO TERRA PULVERIZADOR E MÁQUINAS,MGA,21.8,MAGNOJET,1,2021,Sudeste
SP,Magnojet;,AGRO TERRA PULVERIZADOR E MÁQUINAS,MUG,45,MAGNOJET,6,2021,Sudeste
PR,TeeJet;Jacto;Magnojet;,COAMO,TXA,20.9,TEEJET,1,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,AIXR-VK,35,TEEJET,5,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI,69,TEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,AD-IA,33.11,MAGNOJET,5,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,JA,18,JACTO,1,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,ATR,29.62,JACTO,1,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,J3D,59.5,JACTO,3,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,JTT,25.1,JACTO,3,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,CVI,67.34,JACTO,5,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTJ60,23.5,TEEJET,4,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,MAG,11.6,MAGNOJET,1,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,MGA,22.25,MAGNOJET,1,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,CVI,67.35,JACTO,5,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,AD-IA,33.1,MAGNOJET,5,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,XR-VK,21.81,TEEJET,2,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,TXA,23.03,TEEJET,1,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,TT-VP,21.48,TEEJET,3,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,TTJ60,25.77,TEEJET,4,2021,Sul
PR,TeeJet;,GLOBAL TRATORES,AIXR-VK,36.88,TEEJET,5,2021,Sul
