"";"estado";"marcas";"nome_da_revenda";"pontas";"price";"manufacturer";"group";"ano";"regiao"
"252";"MG";"TeeJet;";"DUSIQUEIRA";"TTI";46,5;"TEEJET";"6";"2022";"Sudeste"
"253";"MG";"TeeJet;";"DUSIQUEIRA";"APTJ";80;"TEEJET";"7";"2022";"Sudeste"
"254";"MG";"TeeJet;";"AUTO PEÇAS SILVA";"TXA";23;"TEEJET";"1";"2022";"Sudeste"
"255";"MG";"TeeJet;";"AUTO PEÇAS SILVA";"TT-VP";20,01;"TEEJET";"3";"2022";"Sudeste"
"256";"MG";"TeeJet;";"AUTO PEÇAS SILVA";"TTJ60";24,01;"TEEJET";"4";"2022";"Sudeste"
"257";"MG";"TeeJet;";"AUTO PEÇAS SILVA";"AIXR-VK";40;"TEEJET";"5";"2022";"Sudeste"
"258";"GO";"TeeJet;";"CASA DO PICA PAU";"TXA";20,01;"TEEJET";"1";"2022";"Centro-Oeste"
"259";"GO";"TeeJet;";"CASA DO PICA PAU";"XR-VK";20,01;"TEEJET";"2";"2022";"Centro-Oeste"
"260";"GO";"TeeJet;";"CASA DO PICA PAU";"TT-VP";18,01;"TEEJET";"3";"2022";"Centro-Oeste"
"261";"GO";"TeeJet;";"CASA DO PICA PAU";"TTJ60";22,01;"TEEJET";"4";"2022";"Centro-Oeste"
"262";"GO";"TeeJet;";"CASA DO PICA PAU";"TTI";60;"TEEJET";"6";"2022";"Centro-Oeste"
"263";"GO";"TeeJet;Hypro;";"JÚLIO GOMES";"TXA";23;"TEEJET";"1";"2022";"Centro-Oeste"
"264";"GO";"TeeJet;Hypro;";"JÚLIO GOMES";"TT-VP";23;"TEEJET";"3";"2022";"Centro-Oeste"
"265";"GO";"TeeJet;Hypro;";"JÚLIO GOMES";"TTJ60";25;"TEEJET";"4";"2022";"Centro-Oeste"
"266";"GO";"TeeJet;Hypro;";"JÚLIO GOMES";"AIXR-VK";41;"TEEJET";"5";"2022";"Centro-Oeste"
"267";"PR";"TeeJet;";"MA MÁQUINAS";"TXA";23;"TEEJET";"1";"2022";"Sul"
"268";"PR";"TeeJet;";"MA MÁQUINAS";"XR-VK";23;"TEEJET";"2";"2022";"Sul"
"269";"PR";"TeeJet;";"MA MÁQUINAS";"TT-VP";23;"TEEJET";"3";"2022";"Sul"
"270";"PR";"TeeJet;";"MA MÁQUINAS";"TTJ60";24,01;"TEEJET";"4";"2022";"Sul"
"271";"PR";"TeeJet;";"MA MÁQUINAS";"AIXR-VK";36;"TEEJET";"5";"2022";"Sul"
"272";"PR";"TeeJet;";"MA MÁQUINAS";"TTI";49,5;"TEEJET";"6";"2022";"Sul"
"273";"PR";"TeeJet;";"MA MÁQUINAS";"TT-VP";22,01;"TEEJET";"3";"2022";"Sul"
"274";"PR";"TeeJet;";"MA MÁQUINAS";"TTI";46,5;"TEEJET";"6";"2022";"Sul"
"275";"PR";"TeeJet;";"COCAMAR MÁQUINAS";"TXA";22,01;"TEEJET";"1";"2022";"Sul"
"276";"PR";"TeeJet;";"COCAMAR MÁQUINAS";"TT-VP";20,01;"TEEJET";"3";"2022";"Sul"
"277";"PR";"TeeJet;";"COCAMAR MÁQUINAS";"AIXR-VK";33;"TEEJET";"5";"2022";"Sul"
"278";"PR";"TeeJet;";"COCAMAR MÁQUINAS";"TTI";45;"TEEJET";"6";"2022";"Sul"
"279";"SC";"TeeJet;";"JB";"TXA";16;"TEEJET";"1";"2022";"Sul"
"280";"SC";"TeeJet;";"JB";"XR-VK";16;"TEEJET";"2";"2022";"Sul"
"281";"SC";"TeeJet;";"JB";"TT-VP";16;"TEEJET";"3";"2022";"Sul"
"282";"SC";"TeeJet;";"JB";"TTJ60";18,01;"TEEJET";"4";"2022";"Sul"
"283";"SC";"TeeJet;";"JB";"AIXR-VK";34;"TEEJET";"5";"2022";"Sul"
"284";"SC";"TeeJet;";"JB";"TTI";49,5;"TEEJET";"6";"2022";"Sul"
"285";"SC";"TeeJet;";"JB";"APTJ";57,5;"TEEJET";"7";"2022";"Sul"
"286";"SC";"TeeJet;";"JB";"BD";15;"MAGNOJET";"2";"2022";"Sul"
"287";"SC";"TeeJet;";"JB";"MAG";9;"MAGNOJET";"1";"2022";"Sul"
"288";"SC";"TeeJet;";"JB";"MGA";19;"MAGNOJET";"1";"2022";"Sul"
"289";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"BD";15;"MAGNOJET";"2";"2022";"Sudeste"
"290";"SP";"TeeJet;Jacto;Magnojet;";"AGRIMAX";"MAG";13;"MAGNOJET";"1";"2022";"Sudeste"
